epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.01796242381095886,0.01785476260185242,0.6832583181818181,0.006235746903540421,0.0264,0.1169
2,0.016862546229362486,0.016603027844429016,0.7587759747474747,0.03485427322232968,0.0677,0.2227
3,0.015534993591308595,0.015173024344444275,0.8221698939393941,0.09068598517040045,0.1195,0.3382
4,0.01441010160446167,0.014390158486366272,0.8522765959595959,0.13235742540587853,0.1519,0.3978
5,0.013541795392036439,0.013642951202392579,0.8715558838383838,0.16910214322169184,0.1884,0.4478
6,0.012830874662399292,0.013660238027572632,0.8785598939393939,0.17944251961792912,0.1961,0.4483
7,0.012232137503623963,0.012765432071685791,0.8936823181818183,0.2118750479714038,0.2274,0.512
8,0.011702616214752198,0.012846765279769898,0.8953329494949496,0.21166885392943294,0.2283,0.5143
9,0.011220618758201599,0.01267699716091156,0.9027910858585858,0.22875762179183134,0.2486,0.5291
10,0.01080802095413208,0.012362638998031616,0.9088352727272725,0.2443390048426006,0.2595,0.5601
11,0.010438317899703979,0.012331146264076233,0.9123766313131313,0.25662831249428125,0.2723,0.5727
12,0.010070702185630798,0.012174269866943359,0.9158919595959597,0.27165039825696835,0.2835,0.5801
13,0.00975004947423935,0.013234969115257263,0.9074953939393938,0.23866631577134967,0.2554,0.5465
14,0.009473447637557983,0.01264046595096588,0.9174569545454545,0.268210472654501,0.2814,0.5898
15,0.009186310822963714,0.011766587543487549,0.9217536363636364,0.2988866719539287,0.313,0.6118
