epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.14316581109046936,0.1368472499370575,0.7125054292929294,0.00894235585226134,0.0314,0.1499
2,0.12657876530647277,0.1191464186668396,0.8142354646464648,0.08336608874626364,0.1197,0.3279
3,0.11486448302268983,0.11113558299541473,0.8501980202020202,0.13718953390317398,0.1612,0.4125
4,0.1072982822227478,0.10557437331676484,0.8716742676767676,0.17426361489420977,0.1939,0.4626
5,0.10038417840003967,0.10313660128116607,0.8856682171717172,0.196637214497728,0.213,0.4881
6,0.09438260865211487,0.09742119686603547,0.8992985353535354,0.2346486701977748,0.2486,0.5374
7,0.08935195748805999,0.09397298963069915,0.9081254141414141,0.26153030025210083,0.2725,0.5592
8,0.0850118772816658,0.0908463580608368,0.9157474141414143,0.2850209364197215,0.2925,0.5873
9,0.08127744908571244,0.08928347713947296,0.9211858282828284,0.29812169418938156,0.3052,0.6005
10,0.07794625774860382,0.08781197483539581,0.9251433232323233,0.30983653156162405,0.3187,0.6105
11,0.07497075567722321,0.08689444292783738,0.9278588888888889,0.31722654336563283,0.3245,0.6184
12,0.0722088468503952,0.08633371862173081,0.9302029646464645,0.32429689291690633,0.3293,0.6275
13,0.069616856944561,0.08540525796413422,0.9324608383838385,0.33265581305446956,0.3365,0.6402
14,0.0671874988412857,0.0852989604473114,0.9334242929292929,0.33582040240266375,0.3405,0.6455
15,0.06496017190694808,0.08443874293565751,0.934899808080808,0.34196826329252333,0.3477,0.6515
