epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.03591641550064087,0.036342767667770386,0.5939238181818183,0.0002161227577263886,0.01,0.0533
2,0.03595439497947693,0.03638270616531372,0.5419766717171718,0.00019801980198019803,0.01,0.05
3,0.03599097883224487,0.03638269853591919,0.5037234090909092,0.0001980982567353407,0.01,0.05
4,0.03602291192054748,0.03638267550468445,0.5074164444444444,0.00019813750743015655,0.01,0.05
5,0.03602268425941467,0.03638243508338928,0.5232727777777777,0.00019910403185664509,0.01,0.0502
6,0.03565828077316284,0.03614367837905884,0.6468502676767678,0.003388569002286437,0.0202,0.073
7,0.033660305800437926,0.033042936134338376,0.7583106969696969,0.02806946586538044,0.0565,0.2214
8,0.03149826957702637,0.0305254052400589,0.8161866919191918,0.07444228617572073,0.1021,0.3221
9,0.02945323784828186,0.02820334413051605,0.8538744494949495,0.13332143062389126,0.1604,0.4048
10,0.02768919966697693,0.026552219128608702,0.8746832424242424,0.17031952818037221,0.1964,0.4618
11,0.026288456797599793,0.02623769018650055,0.880813398989899,0.18705762649815116,0.2051,0.4734
12,0.025258944458961485,0.02497136733531952,0.8943777575757573,0.21030060252243957,0.2295,0.5217
13,0.024452831926345824,0.0240412780046463,0.9040181616161617,0.23753613278579813,0.2541,0.5492
14,0.023787278771400452,0.0252833464384079,0.8941806666666668,0.20794970117647962,0.229,0.505
15,0.023253280115127565,0.023960812020301817,0.9065709191919192,0.23888721682287892,0.2595,0.5439
