epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.035163813982009885,0.033191191959381104,0.7548972121212121,0.0206768928772151,0.0531,0.1939
2,0.03133465565681458,0.029142912364006044,0.8369398737373737,0.10933805876669261,0.1372,0.3742
3,0.028070926475524904,0.026849676990509032,0.8711479797979798,0.16374249948818054,0.1859,0.458
4,0.025725474100112916,0.025312174129486085,0.8892885959595961,0.20685539942787046,0.2283,0.5062
5,0.023950589289665224,0.02423455357551575,0.9014572323232322,0.23533484890705123,0.2515,0.5413
6,0.0225197420167923,0.02340314736366272,0.9099363333333332,0.2577797788920545,0.2719,0.5676
7,0.02132222842693329,0.023447040009498595,0.911151085858586,0.25884691210454114,0.274,0.5697
8,0.020250522360801698,0.02313694739341736,0.9152397323232323,0.27525698074473276,0.2888,0.5849
9,0.019351240968704223,0.022602721428871153,0.9206266262626264,0.3001351282353395,0.309,0.6055
10,0.018560238559246062,0.022303180956840515,0.9243093888888889,0.3053578086158537,0.3177,0.6237
11,0.01781684559106827,0.02229051766395569,0.9263473636363636,0.3091938560014371,0.3196,0.6301
12,0.01714362049818039,0.022918170928955078,0.9241183030303032,0.2972962077867408,0.3073,0.6204
13,0.016558529143333434,0.02358819992542267,0.921800090909091,0.2950269785325929,0.3045,0.6132
14,0.01608729229450226,0.02401694130897522,0.9198688232323232,0.2971347652084376,0.3062,0.6052
15,0.015561603043079375,0.024569811272621155,0.9184236161616162,0.30221087706314176,0.3118,0.6036
16,0.015159471507072449,0.02354984314441681,0.9252401010101009,0.31814495809277793,0.3279,0.6292
17,0.014780154438018799,0.024105892205238344,0.9243403232323233,0.31933276514686615,0.3272,0.6275
18,0.014433594069480896,0.024708495259284972,0.9241340353535352,0.31019076666503337,0.3191,0.6233
19,0.014117405815124513,0.024598197078704833,0.9232868484848485,0.3147721665354923,0.3231,0.6207
20,0.013849950544834138,0.026214179801940917,0.9188309393939393,0.3086035345980902,0.3165,0.6122
21,0.0136737722158432,0.026551442694664,0.9163459242424242,0.30227367524176846,0.3137,0.6122
22,0.013411665577888488,0.025794165205955507,0.9199845858585859,0.31540228569711865,0.3192,0.62
23,0.013284486253261566,0.028779759907722472,0.9097036363636364,0.29526567705551526,0.3057,0.5933
24,0.012981943836212158,0.02681303896903992,0.9165153585858588,0.3122157562645743,0.3197,0.6118
25,0.012905794073343278,0.027356126379966737,0.9205701111111111,0.3265955310950471,0.3321,0.631
26,0.01259813600420952,0.028237094449996947,0.9151837070707072,0.3130175484286957,0.3174,0.6111
27,0.012658306138515473,0.028481949257850647,0.9119562727272726,0.30740142004982557,0.3127,0.6009
28,0.012431982889175415,0.029995986819267274,0.9091878686868685,0.29748067643073756,0.3007,0.5922
29,0.012330501091480255,0.02987202081680298,0.9146378080808081,0.3100098746832472,0.3122,0.6004
30,0.01234362340092659,0.02937137396335602,0.9156554999999998,0.323864256385449,0.3284,0.6142
31,0.012189531972408294,0.028791999554634094,0.9107853434343434,0.30808188843171336,0.3088,0.5999
32,0.012018192216157913,0.02994698157310486,0.9099591212121212,0.30829422302018655,0.3118,0.5997
33,0.012019727880954742,0.030245701026916504,0.9092427373737374,0.3003673671983259,0.3048,0.6004
34,0.011987078555822372,0.030624352169036865,0.9076350202020201,0.29301643664646626,0.2979,0.5837
35,0.01181667116880417,0.02950966362953186,0.9130434545454544,0.3164014036897177,0.3167,0.6105
36,0.011654914178848267,0.03132361526489258,0.9097949242424243,0.31434135029875887,0.3166,0.602
37,0.01173909759759903,0.031051688289642335,0.908858691919192,0.3056994057095272,0.3088,0.6002
38,0.011779953079223632,0.031892866969108584,0.9068016161616163,0.29637277079177693,0.2969,0.5871
39,0.011625999414920807,0.03217771780490875,0.905397909090909,0.3019981249016922,0.3026,0.5894
40,0.011556576850414276,0.03134752259254456,0.9060225555555556,0.3042820236395605,0.3037,0.5934
41,0.011542801197767258,0.030362919521331785,0.9072302828282827,0.31185085498034476,0.312,0.5948
42,0.01140404396891594,0.031397551107406614,0.9092123333333332,0.3122858819829567,0.3132,0.5988
43,0.011374940581321717,0.033172885823249815,0.9024569949494949,0.2959678736416562,0.2965,0.5853
44,0.011467165749073029,0.031287888431549074,0.908752494949495,0.30616110021142,0.3068,0.5934
45,0.011396043204069138,0.03217480297088623,0.9045540959595959,0.3010832902928346,0.3008,0.5882
46,0.011307559143304825,0.03368494861125946,0.9022858535353535,0.28851377611752393,0.2896,0.5765
47,0.01118433854341507,0.03321279933452606,0.9044306616161616,0.3012515067618838,0.3028,0.5927
48,0.011204490350484849,0.03333234703540802,0.9032550707070708,0.3027850157166176,0.3084,0.6018
49,0.01124513027191162,0.033909508061408994,0.9013611515151516,0.30732566665329913,0.3068,0.5933
50,0.011019026267528534,0.03282631630897522,0.900623404040404,0.29953611528548196,0.3005,0.588
51,0.011205720767974853,0.03320602514743805,0.9019345808080808,0.29897192138868495,0.3,0.591
52,0.011152923724651336,0.03425354955196381,0.900607318181818,0.3000420367967703,0.3002,0.5849
53,0.011109787404537202,0.03273664166927338,0.9026383535353536,0.2982411690539611,0.3008,0.5884
54,0.010867752931118012,0.033501474666595456,0.89882998989899,0.2857594770880667,0.2893,0.5759
55,0.010931072577238084,0.034396843576431274,0.8973819141414141,0.2910970211862758,0.2928,0.5763
56,0.010868069036006928,0.03533037576675415,0.8992170505050505,0.29347757737824554,0.2931,0.5807
57,0.01089936518073082,0.03432782187461853,0.9009040555555557,0.30040104915695787,0.3011,0.5838
58,0.010898570255041122,0.03425996146202087,0.8995895454545453,0.2966119029320155,0.2974,0.5789
59,0.010852157595157624,0.03474765808582306,0.8983802323232323,0.29997372612123885,0.3025,0.5858
60,0.011015839658975601,0.03455598816871643,0.8957704595959597,0.2930753976224199,0.2929,0.5771
