epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.03570920634269714,0.034638172578811646,0.7038471818181817,0.004934345796073674,0.0268,0.1293
2,0.03299643587589264,0.03222687072753906,0.7728828333333335,0.04630199794345055,0.0752,0.25
3,0.03076911948680878,0.029643310546875,0.8245253787878788,0.10337690534341538,0.1289,0.3577
4,0.029260956606864928,0.028276417565345765,0.8481332373737372,0.13295061794567858,0.1569,0.4092
5,0.028138140912055968,0.02710564663410187,0.8665389191919192,0.16110628852804798,0.1839,0.4491
6,0.027093330368995666,0.0261059978723526,0.8798476919191919,0.1899144606902886,0.2085,0.4889
7,0.02621546519756317,0.025206625580787657,0.8898903484848485,0.2069289253451375,0.23,0.5135
8,0.02542193694114685,0.02492058665752411,0.8949352222222221,0.2193954826263123,0.2385,0.5135
9,0.02482527292728424,0.023788556146621703,0.904439494949495,0.24313816107525488,0.2625,0.5557
10,0.024247780299186707,0.023294480967521666,0.9087238080808081,0.25760049010252084,0.2771,0.5733
11,0.02380866516113281,0.022940780091285706,0.9122851969696968,0.2668009720020194,0.2868,0.5818
12,0.023365666041374206,0.022655995392799378,0.9154263181818182,0.2706982115585841,0.2934,0.5933
13,0.022952516222000122,0.02232696466445923,0.9191575151515152,0.2823244781106278,0.3009,0.5988
14,0.022611349277496338,0.02199616050720215,0.9226735858585856,0.2959618762697278,0.3117,0.6127
15,0.022251164155006407,0.02140761156082153,0.9259766111111111,0.3064284903424428,0.3237,0.6258
