epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.03595558453559875,0.036384782886505124,0.5295544646464646,0.00019801980198019803,0.01,0.05
2,0.035991190929412845,0.036384956121444705,0.5326394747474748,0.00019801980198019803,0.01,0.05
3,0.03602688925743103,0.03638452405929565,0.5,0.00019801980198019803,0.01,0.05
4,0.03602694953918457,0.03638465070724487,0.5,0.00019801980198019803,0.01,0.05
5,0.03602699116706848,0.0363846643447876,0.5,0.00019801980198019803,0.01,0.05
6,0.03602699546813965,0.03638466491699219,0.5,0.00019801980198019803,0.01,0.05
7,0.036026995677947996,0.03638466782569885,0.5,0.00019801980198019803,0.01,0.05
8,0.03602699570655823,0.03638466744422913,0.5,0.00019801980198019803,0.01,0.05
9,0.03602699578285217,0.03638466744422913,0.5,0.00019801980198019803,0.01,0.05
10,0.03602699579238892,0.036384667682647705,0.5,0.00019801980198019803,0.01,0.05
11,0.03602699579238892,0.03638466773033142,0.5,0.00019801980198019803,0.01,0.05
12,0.0360269958114624,0.03638466739654541,0.5,0.00019801980198019803,0.01,0.05
13,0.03602699584007263,0.03638466739654541,0.5,0.00019801980198019803,0.01,0.05
14,0.03602699585914612,0.03638466739654541,0.5,0.00019801980198019803,0.01,0.05
15,0.03602699578285217,0.036384667778015134,0.5,0.00019801980198019803,0.01,0.05
