epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.0074553169298172,0.0071717522382736204,0.867765015151515,0.1157877821163265,0.1403,0.3961
2,0.0062157278108596805,0.00654246346950531,0.8991122373737374,0.1817926805438265,0.209,0.4845
3,0.005569743986129761,0.00798558690547943,0.8929048686868687,0.11576087613174266,0.1297,0.3662
4,0.005164723052978515,0.00674453558921814,0.9047876262626262,0.19830365234246158,0.2174,0.49
5,0.004842026057243347,0.00584837601184845,0.930114005050505,0.267949168071721,0.2702,0.5791
6,0.004589942073822022,0.0054570445537567135,0.9419582373737374,0.31238725405082984,0.3162,0.6276
7,0.0043995262002944945,0.006271530914306641,0.9255814242424243,0.24137444349818987,0.2395,0.54
8,0.004231179640293121,0.005743883967399597,0.9368169545454547,0.28738812641850126,0.296,0.5953
9,0.004082434136867523,0.00556055839061737,0.9398279696969696,0.3101811611950475,0.3075,0.6168
10,0.003956680517196655,0.00503925187587738,0.9500687676767677,0.36252525461494595,0.3577,0.6772
11,0.003855190749168396,0.004964822006225586,0.9504207222222222,0.37657076202538287,0.3783,0.683
12,0.0037517665839195253,0.004251303720474243,0.9612418383838385,0.43713836855202504,0.4459,0.7482
13,0.003661222550868988,0.00437721312046051,0.9606910303030304,0.4209657647911286,0.4286,0.7397
14,0.0035771756482124327,0.004483515501022339,0.9599497878787879,0.41331145196276536,0.4178,0.7312
15,0.003512265932559967,0.005398071670532227,0.9455042222222221,0.3330519002326325,0.3246,0.6349
16,0.003439969308376312,0.00427753347158432,0.9625195252525254,0.4352524583998174,0.4405,0.748
17,0.0033872303819656373,0.004562219047546387,0.9588550202020203,0.4058518063154925,0.4082,0.7167
18,0.0033237879395484923,0.004168647909164429,0.9636334141414141,0.45390877205721947,0.4576,0.7565
19,0.00328691326379776,0.004583491516113281,0.9597404393939394,0.40880957785913713,0.4094,0.7213
20,0.003235842432975769,0.004352503490447998,0.9624651919191919,0.43201277445932723,0.4357,0.7513
21,0.003184760603904724,0.00465469024181366,0.9567221868686869,0.40826048957080346,0.4064,0.7144
22,0.003152066490650177,0.004454671025276184,0.9605257676767676,0.422273614565197,0.4216,0.7343
23,0.003095741753578186,0.004418408370018005,0.9613205858585858,0.4311025717996911,0.4339,0.7397
24,0.0030486431765556336,0.004382358753681183,0.9617176262626262,0.43373726461933665,0.4372,0.7443
25,0.0030136991810798645,0.004664239645004273,0.9552731313131311,0.39967580419345905,0.4046,0.7106
26,0.002999306659698486,0.004427750468254089,0.960144121212121,0.43075167096908035,0.4333,0.7377
27,0.00297067503452301,0.004496454334259033,0.9600328737373737,0.4256246658882729,0.4272,0.7299
