run_id,epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
cifar100_ep300_bs64_lr0.05_drop0.1_wd1e-05_devicemps_timelim300,12,0.028085529072284697,0.03229444479942322,0.965080292929293,0.45770947646669485,0.4591,0.7591
cifar100_ep300_bs128_lr0.1_drop0.1_wd1e-05_devicemps_timelim300,20,0.012412241280078888,0.015897878527641296,0.9660311060606063,0.46818437801067136,0.4758,0.7663
cifar100_ep300_bs256_lr0.2_drop0.1_wd1e-05_devicemps_timelim300,23,0.005988324823379516,0.008105978798866272,0.9667100303030303,0.47264828030868544,0.4737,0.7755
cifar100_ep300_bs32_lr0.025_drop0.1_wd1e-05_devicemps_timelim300,11,0.05884429777622223,0.06459842364788056,0.9640185303030303,0.4424658214122427,0.4567,0.7586
cifar100_ep300_bs512_lr0.4_drop0.1_wd1e-05_devicemps_timelim300,18,0.0033237879395484923,0.004168647909164429,0.9636334141414141,0.45390877205721947,0.4576,0.7565
cifar100_ep300_bs128_lr0.2_drop0.1_wd1e-05_devicemps_timelim300,19,0.012271229786872864,0.0157157502412796,0.9676246515151515,0.47120593649950854,0.4747,0.7738
cifar100_ep300_bs128_lr0.1_drop0.1_wd1e-05_devicemps_timelim300,18,0.012792770876884461,0.015242534828186036,0.9681171313131313,0.4847320075972303,0.4887,0.7818
cifar100_ep300_bs128_lr0.05_drop0.1_wd1e-05_devicemps_timelim300,19,0.013344751300811768,0.015315439105033874,0.9682687272727273,0.4807617566230305,0.4865,0.7787
cifar100_ep300_bs128_lr0.025_drop0.1_wd1e-05_devicemps_timelim300,20,0.014421566107273102,0.015616297781467437,0.9664526060606058,0.4650502446001676,0.4744,0.7746
cifar100_ep300_bs128_lr0.4_drop0.1_wd1e-05_devicemps_timelim300,20,0.012243335216045379,0.0158857155919075,0.9652765454545453,0.46713725893181995,0.4707,0.7669
cifar100_ep300_bs128_lr0.8_drop0.1_wd1e-05_devicemps_timelim300,29,0.011932677059173584,0.016434892761707304,0.9632578181818182,0.4587795430214881,0.4646,0.7646
cifar100_ep300_bs128_lr1.6_drop0.1_wd1e-05_devicemps_timelim300,32,0.014228438353538514,0.01804456214904785,0.9577386717171718,0.41209894229635446,0.4144,0.7354
cifar100_ep600_bs64_lr0.05_drop0.1_wd1e-05_devicemps_timelim600,32,0.02220936361551285,0.029469302344322205,0.9703316969696969,0.49701659261420394,0.5031,0.798
cifar100_ep600_bs512_lr0.4_drop0.1_wd1e-05_devicemps_timelim600,50,0.0025529743266105654,0.0038946863412857055,0.9687199797979799,0.48841165123686975,0.491,0.7897
cifar100_ep600_bs256_lr0.2_drop0.1_wd1e-05_devicemps_timelim600,47,0.005047610074281693,0.007947599184513092,0.9680646464646466,0.48258563882723954,0.4919,0.7811
cifar100_ep600_bs128_lr0.1_drop0.1_wd1e-05_devicemps_timelim600,39,0.010479907171726227,0.01503004938364029,0.970018626262626,0.4949270303733069,0.5032,0.7984
cifar100_ep600_bs32_lr0.025_drop0.1_wd1e-05_devicemps_timelim600,16,0.05312933569788933,0.05933550469875336,0.9686576767676768,0.48600837518348117,0.495,0.79
cifar100_ep1800_bs512_lr0.4_drop0.1_wd1e-05_devicemps_timelim1800,92,0.002218787146806717,0.0038657405614852904,0.9696450707070707,0.5126124309582125,0.5149,0.7956
cifar100_ep1800_bs128_lr0.1_drop0.1_wd1e-05_devicemps_timelim1800,140,0.008134413110017776,0.015067257010936736,0.9716187727272728,0.5188653814399062,0.5218,0.7986
cifar100_ep1800_bs32_lr0.025_drop0.1_wd1e-05_devicemps_timelim1800,78,0.037155673823356626,0.05877090664505959,0.9708673131313129,0.5170158697414262,0.5211,0.8013
cifar100_ep15_bs128_lr0.1_drop0.1_wd1e-05_devicecuda_timelim1800,11,0.014569889194965362,0.017312510359287263,0.9608342222222223,0.4251960794627647,0.435,0.7302
cifar100_ep15_bs64_lr0.05_drop0.1_wd1e-05_devicecuda_timelim1800,14,0.027012631452083588,0.03197550382614136,0.9645083434343436,0.45568574848336163,0.464,0.7633
cifar100_ep15_bs32_lr0.025_drop0.1_wd1e-05_devicecuda_timelim1800,14,0.05524999972820282,0.0645371709227562,0.9643590303030303,0.4539056922113641,0.4633,0.7592
cifar100_ep15_bs256_lr0.2_drop0.1_wd1e-05_devicecuda_timelim1800,11,0.007387053909301758,0.009904868865013123,0.9537572222222223,0.3775365510437559,0.387,0.6835
cifar100_ep15_bs512_lr0.4_drop0.1_wd1e-05_devicecuda_timelim1800,13,0.0036916934633255006,0.004305186998844147,0.9605873838383839,0.42910590431844503,0.4345,0.7398
