epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.11286792732715607,0.11008664538860322,0.8827855454545454,0.15038076627580563,0.1741,0.4246
2,0.0914409794473648,0.12027049553394317,0.8823555252525253,0.15384586925179375,0.173,0.4043
3,0.08196705456018448,0.10852147779464721,0.9063460909090908,0.214717318228063,0.2275,0.4891
4,0.07622793986558914,0.09526231325864792,0.9255982626262625,0.2800115035721051,0.2886,0.5739
5,0.0720524820613861,0.07548017834424972,0.9517598080808081,0.36199430059630416,0.3794,0.6877
6,0.06857516198635101,0.0717315040230751,0.9550724090909091,0.3949592429645994,0.4078,0.7127
7,0.06620923297166824,0.07186997779607773,0.9559432373737374,0.3963816957657577,0.4091,0.707
8,0.06364805483579636,0.07539246224164962,0.9531511969696969,0.38141960912283884,0.3965,0.6923
9,0.06190590333461762,0.06564261652231217,0.9623316767676768,0.4385502066285886,0.4503,0.7519
10,0.06031523012876511,0.0645712365269661,0.963489404040404,0.45055435657000537,0.46,0.7547
11,0.05893925519824028,0.06480408868789674,0.9635365050505049,0.44938423256874155,0.4589,0.7516
12,0.05758931813955307,0.06661354664564133,0.9617594242424242,0.43824056173291753,0.4497,0.7437
13,0.05638535378575325,0.06580960111618042,0.9626268787878789,0.44709490563863047,0.4579,0.7488
14,0.05524999972820282,0.0645371709227562,0.9643590303030303,0.4539056922113641,0.4633,0.7592
15,0.054570666258335114,0.0744777787566185,0.9549743838383838,0.4132950638853475,0.4214,0.7051
