epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.02946391872882843,0.027201836967468262,0.8787581161616161,0.15636733121270088,0.1811,0.4447
2,0.024521288089752197,0.025166855001449585,0.9039894141414141,0.20778061278791604,0.2296,0.5129
3,0.022055408911705016,0.024500816535949706,0.9196584696969695,0.23844003688020854,0.26,0.5356
4,0.020399218802452088,0.023008069729804993,0.9304857171717171,0.27539966787242015,0.2902,0.5769
5,0.01925436812400818,0.02152213854789734,0.9400176060606061,0.3152735208446273,0.325,0.623
6,0.01828534288883209,0.02257248857021332,0.9372349444444444,0.30093977394101507,0.31,0.5999
7,0.017591271934509278,0.023996008038520814,0.936028191919192,0.27532558257451323,0.2899,0.57
8,0.016939410617351533,0.027676370096206666,0.9224707777777779,0.24005575093474796,0.26,0.5047
9,0.01641733759403229,0.019632695651054383,0.9510996767676768,0.36181694678606363,0.3726,0.6758
10,0.015963974652290346,0.023690328669548035,0.9367764545454546,0.3075648052200624,0.3202,0.5878
11,0.01563099303483963,0.024582105350494383,0.9362497020202021,0.28700231218727246,0.3013,0.574
12,0.015147066845893859,0.02064079339504242,0.9520812727272728,0.3607734035858055,0.3616,0.6614
13,0.014900995116233825,0.01752316757440567,0.9602447373737373,0.4182682428118476,0.4253,0.7331
14,0.014619894948005677,0.01726697144508362,0.9620936969696969,0.4302527553738452,0.4334,0.7381
15,0.014281858012676238,0.017606930923461914,0.9609960707070706,0.4158306194649336,0.4157,0.7328
16,0.014036024644374848,0.0232429918050766,0.9421923636363636,0.3335077406504128,0.3367,0.6192
17,0.01379801005601883,0.020350230598449707,0.9516742929292928,0.36559372042469734,0.3702,0.6647
18,0.013584707100391388,0.017139899230003357,0.9630510808080807,0.43362452438127724,0.4407,0.7358
19,0.013344751300811768,0.015315439105033874,0.9682687272727273,0.4807617566230305,0.4865,0.7787
20,0.013184002771377563,0.01699084016084671,0.9639546868686868,0.4405555471973379,0.4467,0.7465
