epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.007479981164932251,0.009393588829040527,0.7842387676767675,0.03678013007343946,0.0641,0.1933
2,0.006280611248016358,0.00647583577632904,0.9037765606060607,0.19149219353660601,0.2236,0.4896
3,0.005645431385040283,0.006136700677871704,0.9196727727272728,0.22811658336952487,0.254,0.5375
4,0.005182807898521423,0.005941592741012573,0.9291837727272728,0.2591152077269311,0.2602,0.5691
5,0.004850163264274597,0.005527414035797119,0.9371853939393939,0.3051939077177465,0.2981,0.6202
6,0.004591964101791382,0.006689119005203247,0.9168659444444447,0.2073757359729537,0.2128,0.5073
7,0.00439928804397583,0.00511556077003479,0.9467061414141413,0.3477575387696576,0.3531,0.6609
8,0.004220012533664703,0.006011452579498291,0.9323384646464647,0.274678516250605,0.2781,0.5655
9,0.00409313839673996,0.0063801356554031375,0.9199225505050506,0.2610761058273716,0.2633,0.5534
10,0.0039384127831459045,0.005635149002075195,0.940834580808081,0.3003465997370609,0.3166,0.6075
11,0.0038575957918167113,0.005408394622802734,0.9409467777777778,0.351300608667834,0.3403,0.6553
12,0.003741165990829468,0.005234597611427307,0.9487078080808079,0.3589809103684795,0.3635,0.6563
13,0.0036514033365249634,0.004570638060569763,0.957214101010101,0.40016013488261803,0.4048,0.7109
14,0.0035755110549926757,0.004438087630271911,0.9578443737373736,0.42162493299045123,0.4238,0.7292
15,0.003504617006778717,0.004831075644493103,0.9545939848484848,0.38776315745742546,0.3943,0.6959
16,0.003437248673439026,0.004636376905441284,0.9567358383838385,0.40239332424776736,0.409,0.7077
17,0.0033747087836265566,0.004227737140655517,0.9629184040404043,0.44084200119857725,0.4448,0.7441
18,0.003334756565093994,0.004295849061012268,0.9611508484848484,0.42651732872838105,0.4343,0.7421
19,0.0032803838658332827,0.0055648212194442746,0.9436765454545456,0.31966124336022905,0.3208,0.6256
20,0.003230274317264557,0.004478438520431519,0.9595155050505048,0.41373536543031875,0.4189,0.7294
21,0.0031827785086631774,0.004279842591285705,0.9631128383838383,0.43427687748151556,0.4423,0.7488
22,0.0031431604313850404,0.006242001247406006,0.9276051616161616,0.3071616219637067,0.2878,0.611
23,0.0031025236773490907,0.0045639196157455444,0.9591410202020202,0.4039665566408175,0.4162,0.7141
24,0.0030694323205947877,0.004227922558784485,0.9629006666666666,0.4435283168396748,0.4494,0.749
25,0.0030430296182632445,0.004853879427909851,0.9546176262626264,0.3883522744532087,0.3954,0.7005
26,0.003019121243953705,0.004432450866699219,0.960364202020202,0.4327815769632031,0.4329,0.734
27,0.0029719262385368346,0.004551397609710693,0.9597624242424243,0.4174116521577709,0.417,0.7284
28,0.0029294485926628115,0.004041767859458923,0.9667129898989897,0.46774184103647465,0.4716,0.7747
29,0.0029083640003204347,0.004088389933109284,0.9656313636363636,0.45919967806050715,0.4623,0.7672
30,0.002874539637565613,0.004326764845848084,0.961388494949495,0.4370088736935878,0.442,0.7438
31,0.0028572970962524413,0.004348381137847901,0.9620250101010102,0.4325345386666002,0.4335,0.7428
32,0.002838144533634186,0.0039997000217437744,0.9661287676767677,0.46788598294326006,0.475,0.7732
33,0.002808695185184479,0.004141515219211579,0.9656195353535354,0.46318578090859885,0.4654,0.7714
34,0.002796205084323883,0.004319369840621948,0.9634702626262626,0.4486420524226664,0.4488,0.7461
35,0.002767734589576721,0.00479284086227417,0.9560052929292929,0.398601753654909,0.397,0.7079
36,0.002752873265743256,0.004292075538635254,0.9619002121212121,0.4490079175300821,0.4491,0.7516
37,0.002742380690574646,0.004337488949298859,0.9619611767676767,0.4466535146585909,0.445,0.7495
38,0.002709589729309082,0.004332149267196655,0.9634630707070708,0.4502695814585693,0.448,0.7538
39,0.002689781322479248,0.0039025736808776857,0.9682688282828283,0.4842526846349212,0.4852,0.7821
40,0.002689922561645508,0.004274348163604736,0.9638175505050505,0.4455459332134165,0.4478,0.7553
41,0.0026626144075393675,0.005079727554321289,0.9514282727272727,0.38176738098586965,0.3744,0.6907
42,0.002658052077293396,0.004088605654239654,0.966258505050505,0.4735057165261785,0.4718,0.7685
43,0.0026280135989189147,0.004123363280296326,0.9662005050505048,0.46920386432779393,0.471,0.7709
44,0.0026258469367027282,0.004006160986423492,0.9674720808080808,0.4808839233189024,0.4828,0.7799
45,0.0025938040351867675,0.0040848790168762205,0.9665833131313132,0.47186679500988077,0.4779,0.7707
46,0.0025993311738967896,0.004093060410022735,0.9665289090909092,0.4705329342041626,0.4745,0.7697
47,0.0025664940869808196,0.003969248354434967,0.9677077474747476,0.4845320824074738,0.4878,0.7817
48,0.0025593947505950926,0.0040691556692123414,0.9672425555555556,0.47766446547555047,0.48,0.7777
49,0.0025582785487174987,0.004159396421909332,0.9646110101010099,0.46743952251465615,0.4641,0.7616
50,0.0025529743266105654,0.0038946863412857055,0.9687199797979799,0.48841165123686975,0.491,0.7897
