epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.05644797275066376,0.07458273944854736,0.8202352727272728,0.06981529202024939,0.0946,0.2286
2,0.04541167670726776,0.09062101440429687,0.8136076919191919,0.06685994660917566,0.0815,0.2145
3,0.04057591886997223,0.08720875692367554,0.8413311212121214,0.07894741883564682,0.1056,0.2567
4,0.03770524303436279,0.05137062497138977,0.9225798838383841,0.23399871566473213,0.2533,0.5123
5,0.03556580993652344,0.05008054916858673,0.9305294747474749,0.23768716758599365,0.252,0.5414
6,0.03391850267648697,0.05478967730998993,0.9167515000000002,0.23061052018762676,0.2506,0.5068
7,0.032445127093791964,0.035610246396064756,0.9577460000000001,0.4018204140853433,0.407,0.7211
8,0.03143586401939392,0.03495178633928299,0.9591547676767678,0.4094809764375026,0.4144,0.7282
9,0.030452639813423155,0.034687882590293886,0.9594916060606061,0.42204616588686816,0.4223,0.7329
10,0.029678922519683838,0.036419300627708436,0.9580925757575757,0.38934505804853564,0.3918,0.708
11,0.028759259197711943,0.03376418744325638,0.9626977676767676,0.43693745077477225,0.4343,0.74
12,0.028085529072284697,0.03229444479942322,0.965080292929293,0.45770947646669485,0.4591,0.7591
13,0.02758168352484703,0.03301611770391464,0.9626307575757577,0.4400403761418876,0.4484,0.7497
14,0.02704010640859604,0.03380789468288422,0.9613669696969696,0.43264586294010476,0.4369,0.7408
15,0.026628875484466553,0.0337512844324112,0.9621033737373739,0.4354991439454136,0.4379,0.7394
16,0.026093371918201446,0.03282429629564285,0.9642199898989897,0.4517603373467637,0.4577,0.7528
