epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.01609529718875885,0.01571889579296112,0.8220168030303033,0.06278086110753413,0.1012,0.289
2,0.013292750763893127,0.014321391463279725,0.8734980707070709,0.11339722255066702,0.139,0.4024
3,0.011758769540786744,0.02761050000190735,0.7473735252525252,0.028434345851424105,0.0427,0.157
4,0.010661245465278626,0.015381544947624207,0.8828975808080807,0.14627121003099042,0.1604,0.406
5,0.009865408945083618,0.013889727473258973,0.9095098434343434,0.2019481607898848,0.205,0.5198
6,0.009290861508846284,0.01314609546661377,0.917205994949495,0.23036359420818342,0.2454,0.5234
7,0.0088397944521904,0.011700261068344117,0.9338717727272726,0.2753777681406516,0.2773,0.6073
8,0.00849067984342575,0.01183158676624298,0.9279952525252527,0.2861456528726539,0.3019,0.5991
9,0.00818343501329422,0.012427618241310119,0.9258574343434341,0.2553191522239895,0.2601,0.5574
10,0.007933259403705597,0.018129933404922485,0.8787647626262628,0.13411210186044348,0.1374,0.3807
11,0.00771668240070343,0.01026784029006958,0.9433721313131312,0.34453007958101345,0.3589,0.6651
12,0.0075177851128578185,0.010297625255584716,0.9468482424242424,0.3449109405067712,0.3468,0.6719
13,0.007365149745941162,0.00939261953830719,0.9543040858585857,0.38613461831417295,0.3907,0.708
14,0.0071773763692379,0.009671638250350952,0.9501398434343433,0.37415973325544244,0.3771,0.6947
15,0.007027071144580841,0.008788291597366334,0.958277111111111,0.42659795259309286,0.4249,0.7371
16,0.006913210573196411,0.009120295143127441,0.9567220505050507,0.41149197295676343,0.4174,0.7301
17,0.0067754631400108335,0.00955537519454956,0.9535611717171719,0.39859787681817854,0.3925,0.7062
18,0.006700935473442078,0.009958189010620117,0.9494322626262627,0.37669636082765834,0.3848,0.687
19,0.0066137196934223175,0.010546509861946106,0.9421197272727271,0.358340293581073,0.3549,0.6636
20,0.0065143964314460755,0.010552159476280212,0.9478787676767676,0.36959786036106207,0.375,0.679
21,0.006443178623914718,0.00967835614681244,0.951589111111111,0.38832237048959334,0.3918,0.6992
22,0.006348705369234085,0.008997172510623931,0.9593468484848483,0.4270518368219696,0.4253,0.7375
23,0.006266445755958557,0.009433405017852782,0.9553762929292929,0.3975482666278456,0.4009,0.7168
24,0.006192374184131622,0.008400587368011475,0.9626013232323234,0.46016182434728153,0.4566,0.7583
25,0.006146250004768371,0.00914356790781021,0.9574915959595959,0.4150114940713733,0.4171,0.7246
26,0.006075253676176071,0.008379600656032563,0.9628045555555554,0.4495655227773365,0.4493,0.7531
27,0.006011976599693298,0.009132543551921845,0.9588702121212123,0.4272256212713072,0.4317,0.7355
28,0.005983288154602051,0.008940765857696533,0.9585744848484847,0.4369485737527806,0.4317,0.7402
29,0.005907501385211945,0.008614195549488068,0.9619655909090907,0.4530628807475111,0.4567,0.7515
30,0.005895946116447449,0.008468768084049226,0.9620008080808081,0.45293583161452616,0.451,0.7566
31,0.00582185485124588,0.00936956913471222,0.956023212121212,0.4172470655365016,0.4151,0.7226
32,0.005780058240890503,0.008775405597686768,0.9615828484848485,0.4448710992606695,0.4429,0.7506
33,0.0057566000318527225,0.009530333805084229,0.9554792121212121,0.41480473966267234,0.4087,0.7209
34,0.005697173810005188,0.008914905977249145,0.959721696969697,0.4391868131768781,0.4349,0.7431
35,0.005642677171230316,0.009249853348731995,0.958439111111111,0.428650793436751,0.4193,0.7296
36,0.005644573698043823,0.008774121403694152,0.9607964797979798,0.4455838115578689,0.4431,0.7446
37,0.005584216645956039,0.009104592216014862,0.9576900050505052,0.43286533998951726,0.427,0.7362
38,0.005539000343084335,0.008298318839073181,0.9637504646464646,0.4646488867318886,0.4639,0.7638
39,0.0055262819790840145,0.008994760394096375,0.9599271515151514,0.43673265275681855,0.4377,0.743
40,0.005491578650474548,0.009370847737789154,0.958215696969697,0.4242937175595256,0.4242,0.7298
41,0.005453824954032898,0.009038196098804473,0.9597205959595958,0.4377642113208545,0.437,0.7377
42,0.005414926153421402,0.009334867882728576,0.9565428787878788,0.4210903246108825,0.417,0.7304
43,0.005427900620698929,0.008306121289730071,0.9647032323232325,0.4717591378876381,0.4692,0.7684
44,0.0053637351739406584,0.008970270061492919,0.9614745606060606,0.43905281080621406,0.4376,0.7434
45,0.005362831453084946,0.009134912586212159,0.9598396565656566,0.44306826139302447,0.4416,0.7437
46,0.005344815058708191,0.0084158078789711,0.9648063838383838,0.4661133171788044,0.4699,0.7652
47,0.005303437014818191,0.010317479586601258,0.9530230808080807,0.39873734571091307,0.3882,0.6944
48,0.0052807876360416416,0.009176755726337433,0.9580702272727273,0.427220229105898,0.4342,0.7327
49,0.005280964812040329,0.008632990300655365,0.963314388888889,0.4611027341407033,0.4634,0.7571
50,0.0052460788536071775,0.008863042485713958,0.9605465707070708,0.4487193799452296,0.4477,0.7441
