run_id,epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
cifar100_ep25_bs128_lr0.2_drop0.1_wd1e-05_devicemps,18,0.012464521977901459,0.016088701701164245,0.9645373333333335,0.4593699684443264,0.4667,0.7663
cifar100_ep25_bs128_lr0.3_drop0.1_wd1e-05_devicemps,22,0.011830512101650238,0.015517671942710877,0.9672318030303032,0.48005408257999815,0.485,0.7799
cifar100_ep25_bs128_lr0.4_drop0.1_wd1e-05_devicemps,23,0.01197171406030655,0.015861214208602904,0.9658971818181818,0.4728180917181748,0.477,0.7734
cifar100_ep25_bs128_lr0.8_drop0.1_wd1e-05_devicemps,23,0.012504871928691864,0.016407462286949157,0.963721797979798,0.4609337214502551,0.467,0.7611
cifar100_ep25_bs128_lr1.6_drop0.1_wd1e-05_devicemps,24,0.017438848478794098,0.018887886595726013,0.9522781616161616,0.37115116629425116,0.3773,0.6918
cifar100_ep25_bs128_lr0.6_drop0.1_wd1e-05_devicemps,24,0.012053521921634674,0.01681564973592758,0.963087090909091,0.4452897686715059,0.4469,0.7581
cifar100_ep25_bs128_lr1.2_drop0.1_wd1e-05_devicemps,24,0.013708503687381744,0.017407698380947113,0.9602717373737373,0.42766382782623913,0.4326,0.7396
cifar100_ep25_bs128_lr0.1_drop0.1_wd1e-05_devicemps,20,0.012419542939662933,0.015287056267261505,0.9681834141414142,0.4889069493801285,0.4917,0.7831
cifar100_ep6_bs512_lr0.8_drop0.1_wd1e-05_devicemps,6,0.004669784555435181,0.005472979998588562,0.9376533787878789,0.3054094883748735,0.3094,0.6205
cifar100_ep12_bs256_lr0.8_drop0.1_wd1e-05_devicemps,12,0.007624070360660553,0.010795727014541626,0.9411386464646465,0.31447261725710474,0.3198,0.6433
cifar100_ep50_bs64_lr0.1_drop0.1_wd1e-05_devicemps,42,0.020379754238128663,0.029723308992385865,0.9696314595959596,0.5045161525421269,0.5091,0.7999
cifar100_ep100_bs32_lr0.1_drop0.1_wd1e-05_devicemps,80,0.03768355806708336,0.060806314826011655,0.969457808080808,0.5044658123905605,0.5097,0.7979
cifar100_ep6_bs32_lr0.1_drop0.1_wd1e-05_devicemps,5,0.06772806177854537,0.06892681493759155,0.9571988888888889,0.41237548793584056,0.4227,0.7344
cifar100_ep12_bs64_lr0.1_drop0.1_wd1e-05_devicemps,12,0.027468952295780183,0.03224441080093384,0.9640029191919193,0.45121752422936007,0.4589,0.7586
cifar100_ep25_bs128_lr0.1_drop0.1_wd1e-05_devicemps,22,0.01194348482131958,0.015494511222839355,0.968474101010101,0.47661628028533215,0.4846,0.7787
cifar100_ep50_bs256_lr0.8_drop0.1_wd1e-05_devicemps,46,0.005344815058708191,0.0084158078789711,0.9648063838383838,0.4661133171788044,0.4699,0.7652
cifar100_ep100_bs512_lr0.8_drop0.1_wd1e-05_devicemps,48,0.00257936429977417,0.003922990429401398,0.9682334545454545,0.4950160547066986,0.4963,0.791
