epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.10791625376224517,0.13813230125904083,0.8507958434343437,0.10141393216434823,0.1168,0.3033
2,0.08585915845394135,0.10149428703784942,0.9166104949494948,0.22746793735879642,0.2394,0.5176
3,0.07680990507364273,0.07977768933773041,0.9449739242424242,0.3413716084234213,0.3552,0.6611
4,0.07149222033500671,0.07069847971200943,0.9553998787878788,0.4032966526074074,0.4147,0.7164
5,0.06772806177854537,0.06892681493759155,0.9571988888888889,0.41237548793584056,0.4227,0.7344
6,0.06504683114528656,0.07025899608135223,0.9554836818181818,0.40823712625210673,0.4187,0.7218
